"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "JavaScript", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\custom\project-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 3, 11, 112
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 15, 158
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 11, 110
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 11, 214
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 28, 242
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 315, 0, 0, 0, 0, 2, 37, 354
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 13, 185
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 19, 253
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\date-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 5, 58
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 14, 144
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 19, 258
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 25, 168
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
